model_name,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8266905508284819,0.8168083097261567,0.8175803402646503,0.8171941426547,0.9079330732413626
Decision Tree,0.8083296014330497,0.7739130434782608,0.8412098298676749,0.806159420289855,0.8743450106584081
Random Forest,0.8481862964621585,0.8189884649511979,0.8724007561436673,0.8448512585812358,0.9144375175964286
Gradient Boosting,0.864308105687416,0.8367528991971455,0.8865784499054821,0.8609453877925654,0.927560632264811
XGBoost,0.8687863860277654,0.8352322524101665,0.9007561436672968,0.8667576170986813,0.9279966214857419
KNN,0.7250335871025526,0.7387096774193549,0.6493383742911153,0.6911468812877265,0.7837919800506777
